"count";"username";"datetime";"text"
"1";"m.v.k";"21:25:50 19-12-2020";"@elii8888 😘😘"
"2";"m.v.k";"21:25:55 19-12-2020";"@elhamioon 😘😘"
"3";"maryam76425";"21:25:57 19-12-2020";"@hooman.gh75 روزمون مبارک عزیزم❤️🥰"
"4";"m.v.k";"21:25:59 19-12-2020";"@azarakhshsalariyeh 😍😍"
"5";"_tahabaseri";"21:26:03 19-12-2020";"😍"
"6";"m.v.k";"21:26:06 19-12-2020";"@moonlight8058 😘😘😘"
"7";"mrs.khalooei.bmi";"21:26:16 19-12-2020";"@khalouee 🌹 تو روزای سخت مهربون بودن سخته اما تو همیشه مهربونی"
"8";"m.v.k";"21:26:18 19-12-2020";"@m.v.k 😍😍"
"9";"mostafahaji91";"21:26:48 19-12-2020";"@beshel1347"
"10";"maarab__";"21:27:08 19-12-2020";"روزتان مبارك🌹🌹🌹"
"11";"shahrivar_mah_man";"21:27:19 19-12-2020";"هرجا باشن سالم وسالمت باشن💖"
"12";"shimakhodadad";"21:27:33 19-12-2020";"خدا حفظشون کنه برامون🙏😊😍🥰😘❤"
"13";"shimakhodadad";"21:27:42 19-12-2020";"@sarakhodada"
"14";"ramin.as98";"21:27:43 19-12-2020";"@mahsa_rm10"
"15";"shimakhodadad";"21:27:46 19-12-2020";"@niki87.2009"
"16";"setayesh____60";"21:27:53 19-12-2020";"😍😍😍😍😍😍"
"17";"shimakhodadad";"21:27:56 19-12-2020";"@parhizkarzahra"
"18";"setayesh____60";"21:27:56 19-12-2020";"👏"
"19";"shimakhodadad";"21:28:01 19-12-2020";"@khodadadasghar"
"20";"setayesh____60";"21:28:03 19-12-2020";"😍😍😍😍😍😍"
"21";"sydmhmdrdkhwyn_313";"21:28:03 19-12-2020";"#مدافعین_سلامت_خدا_قوت 💝🌹"
"22";"ahmadiii.l";"21:28:05 19-12-2020";"از صمیم قلب ازشون متشکریم 🌺🌺"
"23";"sana.cheraghzade";"21:28:07 19-12-2020";"سلامم جز اولین کامنت ها بودیم"
"24";"shimakhodadad";"21:28:09 19-12-2020";"@memo_sare"
"25";"f.rashvand2314";"21:28:11 19-12-2020";"@_fshzp"
"26";"ramin.as98";"21:28:16 19-12-2020";"@reza.khorsand.f"
"27";"f.rashvand2314";"21:28:19 19-12-2020";"@neda.usefiii"
"28";"sana.cheraghzade";"21:28:23 19-12-2020";"@fcheraghzade"
"29";"sydmhmdrdkhwyn_313";"21:28:23 19-12-2020";"#کادر_درمانی_قهرمانان_این_روزهای_ایران 💝🌹"
"30";"f.rashvand2314";"21:28:25 19-12-2020";"@maryam_mahgol54"
"31";"bahari6671";"21:28:26 19-12-2020";"خداهمیشه نگهدارتون باشه 😍😍سایتون مستدام بر سر خانوادتون 😘خدا قوت پرستار های عزیز یلداتون مبارک"
"32";"sana.cheraghzade";"21:28:27 19-12-2020";"@r.cheraghiii84"
"33";"sydmhmdrdkhwyn_313";"21:28:36 19-12-2020";"#پرستاران_پزشکان_قدردانتان_هستیم 💝🌹"
"34";"fmah214";"21:28:57 19-12-2020";"خدا امثال شما ها رو زیااااد کنه تو دنیا الهی❤️❤️❤️ @atefeh_moon"
"35";"sana.cheraghzade";"21:29:00 19-12-2020";"@sanaa.ne846"
"36";"maryam76425";"21:29:02 19-12-2020";"@maarab__ تشکر🙏🌷"
"37";"sana.cheraghzade";"21:29:04 19-12-2020";"@sara.aa660"
"38";"sana.cheraghzade";"21:29:08 19-12-2020";"@sssss.vts"
"39";"setayesh____60";"21:29:11 19-12-2020";"یعنی فقط پرستارا تگ کنیم"
"40";"sana.cheraghzade";"21:29:14 19-12-2020";"@miss__taranomm"
"41";"pv.kiarash";"21:29:18 19-12-2020";"پرستار جلوه ای از فرشته بر روی زمین است ❤️"
"42";"fmah214";"21:29:29 19-12-2020";"تنتون سالم ❤️❤️❤️"
"43";"fmah214";"21:29:33 19-12-2020";"@poisongirl35"
"44";"moonlight8058";"21:30:07 19-12-2020";"@m.v.k ❤️❤️"
"45";"mehdi.bayani1361";"21:30:07 19-12-2020";"زندگیمون را مدیون شماها هستیم روزتون مبارک آرامش جان ها 😍😍😍😍😍😍😍"
"46";"mehdi.bayani1361";"21:30:13 19-12-2020";"@nafasam_sp"
"47";"mehdi.bayani1361";"21:30:24 19-12-2020";"@z_a_r_e_h"
